Max HRT=179
V02=161
Anaerobic=143
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1326415671
Reading,Time(ms),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,55,0,55,55,53
2,246,55,0,55,55,53
3,492,55,0,55,55,53
4,738,55,0,55,55,53
5,984,55,0,55,55,53
6,1231,56,0,55,56,53
7,1477,56,0,55,56,53
8,1723,57,0,55,57,53
9,1970,57,0,55,57,53
10,2216,57,0,55,57,53
11,2462,57,0,55,57,53
12,2709,58,0,56,58,53
13,2955,58,0,56,58,53
14,3201,58,0,56,58,53
15,3447,58,0,56,58,53
16,3694,58,0,56,58,53
17,3940,58,0,56,58,53
18,4243,58,0,56,58,53
19,4433,58,0,56,58,53
20,4680,58,0,56,58,53
21,4926,58,0,56,58,53
22,5172,58,0,56,58,53
23,5418,58,0,57,58,53
24,5665,58,0,57,58,53
25,5911,58,0,57,58,53
26,6157,58,0,57,58,53
27,6403,58,0,57,58,53
28,6650,58,0,57,58,53
29,6895,58,0,57,58,53
30,7142,58,0,57,58,53
31,7389,58,0,57,58,53
32,7635,62,0,57,62,53
33,7881,62,0,57,62,53
34,8127,62,0,57,62,53
35,8373,62,0,57,62,53
36,8620,62,0,57,62,53
37,8866,62,0,58,62,53
38,9112,62,0,58,62,53
39,9359,64,0,58,64,53
40,9605,64,0,58,64,53
41,9851,64,0,58,64,53
42,10097,65,0,58,65,53
43,10343,65,0,58,65,53
44,10589,65,0,59,65,53
45,10836,67,0,59,67,53
46,11082,67,0,59,67,53
47,11329,67,0,59,67,53
48,11575,67,0,59,67,53
49,11833,67,0,59,67,53
50,12067,67,0,59,67,53
51,12314,67,0,60,67,53
52,12560,67,0,60,67,53
53,12806,67,0,60,67,53
54,13063,67,0,60,67,53
55,13299,67,0,60,67,53
56,13545,67,0,60,67,53
57,13791,67,0,60,67,53
58,14037,67,0,60,67,53
59,14284,67,0,61,67,53
60,14530,67,0,61,67,53
61,14842,67,0,61,67,53
62,15023,67,0,61,67,53
