Max HRT=178
V02=160
Anaerobic=142
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1350514727
Reading,Time(ms),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,61,0,61,61,57
2,246,61,0,61,61,57
3,493,61,0,61,61,57
4,739,61,0,61,61,57
5,985,61,0,61,61,57
6,1231,61,0,61,61,57
7,1478,61,0,61,61,57
8,1724,61,0,61,61,57
9,1970,61,0,61,61,57
10,2216,61,0,61,61,57
11,2463,61,0,61,61,57
12,2709,61,0,61,61,57
13,2955,64,0,61,64,57
14,3202,64,0,61,64,57
15,3448,64,0,61,64,57
16,3694,64,0,61,64,57
17,3940,64,0,61,64,57
18,4186,64,0,62,64,57
19,4432,64,0,62,64,57
20,4679,64,0,62,64,57
21,4925,64,0,62,64,57
22,5172,64,0,62,64,57
23,5418,68,0,62,68,57
24,5664,68,0,62,68,57
25,5910,68,0,63,68,57
26,6157,70,0,63,70,57
27,6403,70,0,63,70,57
28,6650,70,0,63,70,57
29,6896,70,0,64,70,57
30,7143,70,0,64,70,57
31,7388,70,0,64,70,57
32,7635,70,0,64,70,57
33,7881,70,0,64,70,57
34,8128,70,0,64,70,57
35,8373,70,0,65,70,57
36,8620,70,0,65,70,57
37,8866,70,0,65,70,57
38,9113,70,0,65,70,57
39,9359,70,0,65,70,57
40,9605,70,0,65,70,57
41,9851,70,0,65,70,57
42,10098,70,0,65,70,57
43,10344,70,0,65,70,57
44,10590,73,0,66,73,57
45,10836,73,0,66,73,57
46,11082,73,0,66,73,57
47,11329,73,0,66,73,57
48,11575,73,0,66,73,57
49,11821,73,0,66,73,57
50,12067,73,0,66,73,57
51,12314,73,1,67,73,57
52,12560,73,1,67,73,57
53,12807,73,1,67,73,57
54,13053,76,1,67,76,57
55,13299,76,1,67,76,57
56,13545,76,1,67,76,57
57,13791,76,1,67,76,57
58,14038,76,1,68,76,57
59,14284,76,1,68,76,57
60,14530,76,1,68,76,57
61,14777,76,1,68,76,57
62,15023,76,1,68,76,57
63,15269,76,1,68,76,57
64,15515,76,1,68,76,57
65,15762,76,1,68,76,57
66,16008,76,1,69,76,57
67,16254,76,1,69,76,57
68,16500,80,1,69,80,57
69,16747,80,1,69,80,57
70,16993,80,1,69,80,57
71,17239,83,1,69,83,57
72,17485,83,1,69,83,57
73,17731,83,1,70,83,57
74,17978,83,1,70,83,57
75,18224,83,1,70,83,57
76,18470,83,1,70,83,57
77,18717,83,1,70,83,57
78,18963,83,1,70,83,57
79,19209,83,1,71,83,57
80,19455,83,1,71,83,57
81,19702,83,1,71,83,57
82,19948,83,1,71,83,57
83,20194,83,1,71,83,57
84,20441,83,1,71,83,57
85,20687,83,1,71,83,57
86,20933,83,1,72,83,57
87,21179,83,1,72,83,57
88,21425,83,1,72,83,57
89,21672,83,1,72,83,57
90,21918,83,1,72,83,57
91,22164,83,1,72,83,57
92,22411,83,1,72,83,57
93,22657,83,1,72,83,57
94,22903,83,1,73,83,57
95,23149,83,1,73,83,57
96,23396,83,1,73,83,57
97,23642,83,1,73,83,57
98,23888,83,1,73,83,57
99,24135,83,1,73,83,57
100,24382,83,1,73,83,57
101,24628,83,1,73,83,57
102,24874,83,1,73,83,57
103,25120,82,1,73,83,57
104,25367,82,1,73,83,57
105,25613,82,1,74,83,57
106,25859,82,2,74,83,57
107,26105,82,2,74,83,57
108,26352,82,2,74,83,57
109,26598,82,2,74,83,57
110,26844,82,2,74,83,57
111,27090,82,2,74,83,57
112,27337,82,2,74,83,57
113,27583,84,2,74,84,57
114,27829,84,2,74,84,57
115,28076,85,2,74,85,57
116,28322,85,2,74,85,57
117,28568,85,2,74,85,57
118,28814,85,2,75,85,57
119,29061,85,2,75,85,57
120,29307,85,2,75,85,57
121,29553,85,2,75,85,57
122,29799,85,2,75,85,57
123,30046,85,2,75,85,57
124,30292,85,2,75,85,57
125,30538,85,2,75,85,57
126,30784,85,2,75,85,57
127,31031,85,2,75,85,57
128,31277,85,2,75,85,57
129,31523,85,2,75,85,57
130,31769,85,2,75,85,57
131,32016,85,2,76,85,57
132,32262,85,2,76,85,57
133,32508,85,2,76,85,57
134,32754,85,2,76,85,57
135,33001,85,2,76,85,57
136,33247,94,2,76,94,57
137,33493,94,2,76,94,57
138,33739,102,2,76,102,57
139,33985,102,2,76,102,57
140,34232,109,2,77,109,57
141,34478,115,2,77,115,57
142,34725,115,2,77,115,57
143,34971,115,2,77,115,57
144,35217,115,2,78,115,57
145,35463,115,2,78,115,57
146,35710,119,2,78,119,57
147,35956,124,3,79,124,57
148,36202,124,3,79,124,57
149,36448,124,3,79,124,57
150,36695,124,3,79,124,57
151,36941,124,3,80,124,57
152,37187,124,3,80,124,57
153,37433,130,3,80,130,57
154,37680,130,3,81,130,57
155,37926,133,3,81,133,57
156,38172,133,3,81,133,57
157,38418,133,3,82,133,57
158,38665,135,3,82,135,57
159,38911,135,3,82,135,57
160,39157,137,3,83,137,57
161,39403,137,3,83,137,57
162,39650,139,3,83,139,57
163,39896,141,3,84,141,57
164,40142,141,3,84,141,57
165,40388,141,3,84,141,57
166,40635,142,4,85,142,57
167,40881,142,4,85,142,57
168,41127,142,4,85,142,57
169,41373,142,4,86,142,57
170,41621,142,4,86,142,57
171,41866,142,4,86,142,57
172,42113,142,4,87,142,57
173,42360,143,4,87,143,57
174,42606,143,4,87,143,57
175,42852,144,4,88,144,57
176,43098,145,4,88,145,57
177,43345,145,4,88,145,57
178,43591,146,4,89,146,57
179,43837,146,4,89,146,57
180,44083,146,4,89,146,57
181,44329,147,4,90,147,57
182,44576,147,4,90,147,57
183,44822,149,4,90,149,57
