Max HRT=178
V02=160
Anaerobic=142
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1350771730
Reading,Time(ms),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,67,0,67,72,67
2,246,67,0,67,72,67
3,492,67,0,67,72,67
4,739,67,0,67,72,67
5,1512,65,0,66,72,65
6,1518,65,0,66,72,65
7,1526,65,0,66,72,65
8,1723,65,0,66,72,65
9,1970,65,0,65,72,65
10,2216,63,0,65,72,63
11,2462,63,0,65,72,63
12,2708,63,0,65,72,63
13,2955,63,0,65,72,63
14,3201,63,0,64,72,63
15,3447,62,0,64,72,62
16,3693,62,0,64,72,62
17,3940,62,0,64,72,62
18,4186,62,0,64,72,62
19,4432,62,0,64,72,62
20,4678,60,0,63,72,60
21,4925,60,0,63,72,60
22,5171,60,0,63,72,60
23,5417,60,0,63,72,60
24,5663,59,0,63,72,59
25,5910,59,0,63,72,59
26,6156,59,0,62,72,59
27,6402,59,0,62,72,59
28,6648,59,0,62,72,59
29,6895,59,0,62,72,59
30,7141,59,0,62,72,59
31,7387,59,0,62,72,59
32,7634,59,0,62,72,59
33,7880,58,0,62,72,58
34,8126,58,0,61,72,58
35,8372,58,0,61,72,58
36,8618,58,0,61,72,58
37,8865,58,0,61,72,58
38,9111,57,0,61,72,57
39,9357,57,0,61,72,57
40,9604,57,0,61,72,57
41,9850,57,0,61,72,57
42,10096,57,0,61,72,57
43,10342,57,0,60,72,57
44,10589,57,0,60,72,57
45,10835,57,0,60,72,57
46,11082,57,0,60,72,57
47,11328,57,0,60,72,57
48,11575,57,0,60,72,57
49,11821,57,0,60,72,57
50,12067,57,0,60,72,57
51,12313,56,0,60,72,56
52,12560,56,0,60,72,56
53,12806,56,0,60,72,56
54,13052,56,0,60,72,56
55,13298,56,0,60,72,56
56,13545,56,0,59,72,56
57,13791,56,0,59,72,56
58,14037,56,0,59,72,56
59,14283,56,0,59,72,56
60,14530,56,0,59,72,56
61,14776,55,0,59,72,55
62,15022,55,0,59,72,55
63,15269,55,0,59,72,55
64,15515,55,0,59,72,55
65,15761,55,0,59,72,55
66,16007,55,0,59,72,55
67,16254,55,0,59,72,55
68,16500,55,0,59,72,55
69,16746,55,0,59,72,55
70,16992,55,0,59,72,55
71,17239,55,0,58,72,55
72,17485,55,0,58,72,55
73,17731,56,0,58,72,55
